studyName,Sample Number,Species,Sample ID,Region,Island,Individual ID,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Comments
PAL0708,29,Gentoo,G_29,Anvers,Biscoe,N47A1,48.2,14.3,210.0,4600.0,
PAL0708,30,Gentoo,G_30,Anvers,Biscoe,N47A2,50.0,15.3,220.0,5550.0,
PAL0708,31,Gentoo,G_31,Anvers,Biscoe,N50A1,47.3,15.3,222.0,5250.0,
PAL0708,32,Gentoo,G_32,Anvers,Biscoe,N50A2,42.8,14.2,209.0,4700.0,
PAL0708,33,Gentoo,G_33,Anvers,Biscoe,N56A1,45.1,14.5,207.0,5050.0,
PAL0708,34,Gentoo,G_34,Anvers,Biscoe,N56A2,59.6,17.0,230.0,6050.0,
PAL0809,35,Gentoo,G_35,Anvers,Biscoe,N2A1,49.1,14.8,220.0,5150.0,
PAL0809,36,Gentoo,G_36,Anvers,Biscoe,N2A2,48.4,16.3,220.0,5400.0,
PAL0809,37,Gentoo,G_37,Anvers,Biscoe,N4A1,42.6,13.7,213.0,4950.0,
PAL0809,38,Gentoo,G_38,Anvers,Biscoe,N4A2,44.4,17.3,219.0,5250.0,
PAL0809,39,Gentoo,G_39,Anvers,Biscoe,N5A1,44.0,13.6,208.0,4350.0,
PAL0809,40,Gentoo,G_40,Anvers,Biscoe,N5A2,48.7,15.7,208.0,5350.0,
PAL0809,41,Gentoo,G_41,Anvers,Biscoe,N6A1,42.7,13.7,208.0,3950.0,
PAL0809,42,Gentoo,G_42,Anvers,Biscoe,N6A2,49.6,16.0,225.0,5700.0,
PAL0809,43,Gentoo,G_43,Anvers,Biscoe,N7A1,45.3,13.7,210.0,4300.0,
PAL0809,44,Gentoo,G_44,Anvers,Biscoe,N7A2,49.6,15.0,216.0,4750.0,
PAL0809,45,Gentoo,G_45,Anvers,Biscoe,N8A1,50.5,15.9,222.0,5550.0,
PAL0809,46,Gentoo,G_46,Anvers,Biscoe,N8A2,43.6,13.9,217.0,4900.0,
PAL0809,47,Gentoo,G_47,Anvers,Biscoe,N11A1,45.5,13.9,210.0,4200.0,
PAL0809,48,Gentoo,G_48,Anvers,Biscoe,N11A2,50.5,15.9,225.0,5400.0,
PAL0809,49,Gentoo,G_49,Anvers,Biscoe,N12A1,44.9,13.3,213.0,5100.0,
PAL0809,50,Gentoo,G_50,Anvers,Biscoe,N12A2,45.2,15.8,215.0,5300.0,
PAL0809,51,Gentoo,G_51,Anvers,Biscoe,N13A1,46.6,14.2,210.0,4850.0,
PAL0809,52,Gentoo,G_52,Anvers,Biscoe,N13A2,48.5,14.1,220.0,5300.0,
PAL0809,53,Gentoo,G_53,Anvers,Biscoe,N14A1,45.1,14.4,210.0,4400.0,
PAL0809,54,Gentoo,G_54,Anvers,Biscoe,N14A2,50.1,15.0,225.0,5000.0,
PAL0809,55,Gentoo,G_55,Anvers,Biscoe,N15A1,46.5,14.4,217.0,4900.0,
PAL0809,56,Gentoo,G_56,Anvers,Biscoe,N15A2,45.0,15.4,220.0,5050.0,
PAL0809,57,Gentoo,G_57,Anvers,Biscoe,N16A1,43.8,13.9,208.0,4300.0,
PAL0809,58,Gentoo,G_58,Anvers,Biscoe,N16A2,45.5,15.0,220.0,5000.0,
PAL0809,59,Gentoo,G_59,Anvers,Biscoe,N17A1,43.2,14.5,208.0,4450.0,
PAL0809,60,Gentoo,G_60,Anvers,Biscoe,N17A2,50.4,15.3,224.0,5550.0,
PAL0809,61,Gentoo,G_61,Anvers,Biscoe,N18A1,45.3,13.8,208.0,4200.0,
PAL0809,62,Gentoo,G_62,Anvers,Biscoe,N18A2,46.2,14.9,221.0,5300.0,
PAL0809,63,Gentoo,G_63,Anvers,Biscoe,N19A1,45.7,13.9,214.0,4400.0,
PAL0809,64,Gentoo,G_64,Anvers,Biscoe,N19A2,54.3,15.7,231.0,5650.0,
PAL0809,65,Gentoo,G_65,Anvers,Biscoe,N20A1,45.8,14.2,219.0,4700.0,
PAL0809,66,Gentoo,G_66,Anvers,Biscoe,N20A2,49.8,16.8,230.0,5700.0,
PAL0809,67,Gentoo,G_67,Anvers,Biscoe,N51A1,46.2,14.4,214.0,4650.0,
PAL0809,68,Gentoo,G_68,Anvers,Biscoe,N51A2,49.5,16.2,229.0,5800.0,
PAL0809,69,Gentoo,G_69,Anvers,Biscoe,N53A1,43.5,14.2,220.0,4700.0,
PAL0809,70,Gentoo,G_70,Anvers,Biscoe,N53A2,50.7,15.0,223.0,5550.0,
PAL0809,71,Gentoo,G_71,Anvers,Biscoe,N54A1,47.7,15.0,216.0,4750.0,
PAL0809,72,Gentoo,G_72,Anvers,Biscoe,N54A2,46.4,15.6,221.0,5000.0,
PAL0809,73,Gentoo,G_73,Anvers,Biscoe,N55A1,48.2,15.6,221.0,5100.0,
PAL0809,74,Gentoo,G_74,Anvers,Biscoe,N55A2,46.5,14.8,217.0,5200.0,
PAL0809,75,Gentoo,G_75,Anvers,Biscoe,N56A1,46.4,15.0,216.0,4700.0,
PAL0809,76,Gentoo,G_76,Anvers,Biscoe,N56A2,48.6,16.0,230.0,5800.0,
PAL0809,77,Gentoo,G_77,Anvers,Biscoe,N58A1,47.5,14.2,209.0,4600.0,
PAL0809,78,Gentoo,G_78,Anvers,Biscoe,N58A2,51.1,16.3,220.0,6000.0,
PAL0809,79,Gentoo,G_79,Anvers,Biscoe,N60A1,45.2,13.8,215.0,4750.0,
PAL0809,80,Gentoo,G_80,Anvers,Biscoe,N60A2,45.2,16.4,223.0,5950.0,
PAL0910,81,Gentoo,G_81,Anvers,Biscoe,N1A1,49.1,14.5,212.0,4625.0,
PAL0910,82,Gentoo,G_82,Anvers,Biscoe,N1A2,52.5,15.6,221.0,5450.0,
PAL0910,83,Gentoo,G_83,Anvers,Biscoe,N6A1,47.4,14.6,212.0,4725.0,
PAL0910,84,Gentoo,G_84,Anvers,Biscoe,N6A2,50.0,15.9,224.0,5350.0,
PAL0910,85,Gentoo,G_85,Anvers,Biscoe,N8A1,44.9,13.8,212.0,4750.0,
PAL0910,86,Gentoo,G_86,Anvers,Biscoe,N8A2,50.8,17.3,228.0,5600.0,
PAL0910,87,Gentoo,G_87,Anvers,Biscoe,N13A1,43.4,14.4,218.0,4600.0,
PAL0910,88,Gentoo,G_88,Anvers,Biscoe,N13A2,51.3,14.2,218.0,5300.0,
PAL0910,89,Gentoo,G_89,Anvers,Biscoe,N14A1,47.5,14.0,212.0,4875.0,
PAL0910,90,Gentoo,G_90,Anvers,Biscoe,N14A2,52.1,17.0,230.0,5550.0,
PAL0910,91,Gentoo,G_91,Anvers,Biscoe,N15A1,47.5,15.0,218.0,4950.0,
PAL0910,92,Gentoo,G_92,Anvers,Biscoe,N15A2,52.2,17.1,228.0,5400.0,
PAL0910,93,Gentoo,G_93,Anvers,Biscoe,N18A1,45.5,14.5,212.0,4750.0,
PAL0910,94,Gentoo,G_94,Anvers,Biscoe,N18A2,49.5,16.1,224.0,5650.0,
PAL0910,95,Gentoo,G_95,Anvers,Biscoe,N19A1,44.5,14.7,214.0,4850.0,
PAL0910,96,Gentoo,G_96,Anvers,Biscoe,N19A2,50.8,15.7,226.0,5200.0,
PAL0910,97,Gentoo,G_97,Anvers,Biscoe,N20A1,49.4,15.8,216.0,4925.0,
PAL0910,98,Gentoo,G_98,Anvers,Biscoe,N20A2,46.9,14.6,222.0,4875.0,
PAL0910,99,Gentoo,G_99,Anvers,Biscoe,N21A1,48.4,14.4,203.0,4625.0,
PAL0910,100,Gentoo,G_100,Anvers,Biscoe,N21A2,51.1,16.5,225.0,5250.0,
PAL0910,101,Gentoo,G_101,Anvers,Biscoe,N22A1,48.5,15.0,219.0,4850.0,
PAL0910,102,Gentoo,G_102,Anvers,Biscoe,N22A2,55.9,17.0,228.0,5600.0,
PAL0910,103,Gentoo,G_103,Anvers,Biscoe,N23A1,47.2,15.5,215.0,4975.0,
PAL0910,104,Gentoo,G_104,Anvers,Biscoe,N23A2,49.1,15.0,228.0,5500.0,
PAL0910,105,Gentoo,G_105,Anvers,Biscoe,N24A1,47.3,13.8,216.0,4725.0,
PAL0910,106,Gentoo,G_106,Anvers,Biscoe,N24A2,46.8,16.1,215.0,5500.0,
PAL0910,107,Gentoo,G_107,Anvers,Biscoe,N28A1,41.7,14.7,210.0,4700.0,
PAL0910,108,Gentoo,G_108,Anvers,Biscoe,N28A2,53.4,15.8,219.0,5500.0,
PAL0910,109,Gentoo,G_109,Anvers,Biscoe,N29A1,43.3,14.0,208.0,4575.0,
PAL0910,110,Gentoo,G_110,Anvers,Biscoe,N29A2,48.1,15.1,209.0,5500.0,
PAL0910,111,Gentoo,G_111,Anvers,Biscoe,N32A1,50.5,15.2,216.0,5000.0,
PAL0910,112,Gentoo,G_112,Anvers,Biscoe,N32A2,49.8,15.9,229.0,5950.0,
PAL0910,113,Gentoo,G_113,Anvers,Biscoe,N34A1,43.5,15.2,213.0,4650.0,
PAL0910,114,Gentoo,G_114,Anvers,Biscoe,N34A2,51.5,16.3,230.0,5500.0,
PAL0910,115,Gentoo,G_115,Anvers,Biscoe,N35A1,46.2,14.1,217.0,4375.0,
PAL0910,116,Gentoo,G_116,Anvers,Biscoe,N35A2,55.1,16.0,230.0,5850.0,
PAL0910,117,Gentoo,G_117,Anvers,Biscoe,N36A1,44.5,15.7,217.0,4875.0,
PAL0910,118,Gentoo,G_118,Anvers,Biscoe,N36A2,48.8,16.2,222.0,6000.0,
PAL0910,119,Gentoo,G_119,Anvers,Biscoe,N38A1,47.2,13.7,214.0,4925.0,
PAL0910,120,Gentoo,G_120,Anvers,Biscoe,N38A2,,,,,
PAL0910,121,Gentoo,G_121,Anvers,Biscoe,N39A1,46.8,14.3,215.0,4850.0,
PAL0910,122,Gentoo,G_122,Anvers,Biscoe,N39A2,50.4,15.7,222.0,5750.0,
PAL0910,123,Gentoo,G_123,Anvers,Biscoe,N43A1,45.2,14.8,212.0,5200.0,
PAL0910,124,Gentoo,G_124,Anvers,Biscoe,N43A2,49.9,16.1,213.0,5400.0,
