Sex,Sample Number,Species
FEMALE,39,Chinstrap
MALE,40,Chinstrap
MALE,41,Chinstrap
FEMALE,42,Chinstrap
MALE,43,Chinstrap
FEMALE,44,Chinstrap
FEMALE,45,Chinstrap
MALE,46,Chinstrap
FEMALE,47,Chinstrap
MALE,48,Chinstrap
MALE,49,Chinstrap
FEMALE,50,Chinstrap
FEMALE,51,Chinstrap
MALE,52,Chinstrap
FEMALE,53,Chinstrap
MALE,54,Chinstrap
FEMALE,55,Chinstrap
MALE,56,Chinstrap
FEMALE,57,Chinstrap
MALE,58,Chinstrap
MALE,59,Chinstrap
FEMALE,60,Chinstrap
MALE,61,Chinstrap
FEMALE,62,Chinstrap
FEMALE,63,Chinstrap
MALE,64,Chinstrap
FEMALE,65,Chinstrap
MALE,66,Chinstrap
MALE,67,Chinstrap
FEMALE,68,Chinstrap
FEMALE,1,Gentoo
MALE,2,Gentoo
FEMALE,3,Gentoo
MALE,4,Gentoo
MALE,5,Gentoo
FEMALE,6,Gentoo
FEMALE,7,Gentoo
MALE,8,Gentoo
FEMALE,9,Gentoo
MALE,10,Gentoo
FEMALE,11,Gentoo
MALE,12,Gentoo
FEMALE,13,Gentoo
MALE,14,Gentoo
FEMALE,15,Gentoo
MALE,16,Gentoo
FEMALE,17,Gentoo
MALE,18,Gentoo
FEMALE,19,Gentoo
MALE,20,Gentoo
MALE,21,Gentoo
FEMALE,22,Gentoo
FEMALE,23,Gentoo
MALE,24,Gentoo
FEMALE,25,Gentoo
MALE,26,Gentoo
,27,Gentoo
MALE,28,Gentoo
FEMALE,29,Gentoo
MALE,30,Gentoo
MALE,31,Gentoo
FEMALE,32,Gentoo
FEMALE,33,Gentoo
MALE,34,Gentoo
FEMALE,35,Gentoo
MALE,36,Gentoo
FEMALE,37,Gentoo
MALE,38,Gentoo
FEMALE,39,Gentoo
MALE,40,Gentoo
FEMALE,41,Gentoo
MALE,42,Gentoo
FEMALE,43,Gentoo
MALE,44,Gentoo
MALE,45,Gentoo
FEMALE,46,Gentoo
FEMALE,47,Gentoo
MALE,48,Gentoo
FEMALE,49,Gentoo
MALE,50,Gentoo
FEMALE,51,Gentoo
MALE,52,Gentoo
FEMALE,53,Gentoo
MALE,54,Gentoo
FEMALE,55,Gentoo
MALE,56,Gentoo
FEMALE,57,Gentoo
MALE,58,Gentoo
FEMALE,59,Gentoo
MALE,60,Gentoo
FEMALE,61,Gentoo
MALE,62,Gentoo
FEMALE,63,Gentoo
MALE,64,Gentoo
FEMALE,65,Gentoo
MALE,66,Gentoo
,67,Gentoo
MALE,68,Gentoo
FEMALE,69,Gentoo
MALE,70,Gentoo
FEMALE,71,Gentoo
MALE,72,Gentoo
MALE,73,Gentoo
FEMALE,74,Gentoo
FEMALE,75,Gentoo
MALE,76,Gentoo
FEMALE,77,Gentoo
MALE,78,Gentoo
FEMALE,79,Gentoo
MALE,80,Gentoo
FEMALE,81,Gentoo
MALE,82,Gentoo
FEMALE,83,Gentoo
MALE,84,Gentoo
FEMALE,85,Gentoo
MALE,86,Gentoo
FEMALE,87,Gentoo
MALE,88,Gentoo
FEMALE,89,Gentoo
MALE,90,Gentoo
FEMALE,91,Gentoo
MALE,92,Gentoo
FEMALE,93,Gentoo
MALE,94,Gentoo
FEMALE,95,Gentoo
MALE,96,Gentoo
MALE,97,Gentoo
FEMALE,98,Gentoo
FEMALE,99,Gentoo
MALE,100,Gentoo
FEMALE,101,Gentoo
MALE,102,Gentoo
FEMALE,103,Gentoo
MALE,104,Gentoo
,105,Gentoo
MALE,106,Gentoo
FEMALE,107,Gentoo
MALE,108,Gentoo
FEMALE,109,Gentoo
MALE,110,Gentoo
FEMALE,111,Gentoo
MALE,112,Gentoo
FEMALE,113,Gentoo
MALE,114,Gentoo
FEMALE,115,Gentoo
MALE,116,Gentoo
.,117,Gentoo
MALE,118,Gentoo
FEMALE,119,Gentoo
,120,Gentoo
FEMALE,121,Gentoo
MALE,122,Gentoo
FEMALE,123,Gentoo
MALE,124,Gentoo
