studyName,Sample Number,Species,Sample ID,Region,Island,Individual ID,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Comments
PAL0708,20,Adelie,A_20,Anvers,Torgersen,N10A2,46.0,21.5,194.0,4200.0,
PAL0708,21,Adelie,A_21,Anvers,Biscoe,N11A1,37.8,18.3,174.0,3400.0,
PAL0708,22,Adelie,A_22,Anvers,Biscoe,N11A2,37.7,18.7,180.0,3600.0,
PAL0708,23,Adelie,A_23,Anvers,Biscoe,N12A1,35.9,19.2,189.0,3800.0,
PAL0708,24,Adelie,A_24,Anvers,Biscoe,N12A2,38.2,18.1,185.0,3950.0,
PAL0708,25,Adelie,A_25,Anvers,Biscoe,N13A1,38.8,17.2,180.0,3800.0,
PAL0708,26,Adelie,A_26,Anvers,Biscoe,N13A2,35.3,18.9,187.0,3800.0,
PAL0708,27,Adelie,A_27,Anvers,Biscoe,N17A1,40.6,18.6,183.0,3550.0,
PAL0708,28,Adelie,A_28,Anvers,Biscoe,N17A2,40.5,17.9,187.0,3200.0,
PAL0708,29,Adelie,A_29,Anvers,Biscoe,N18A1,37.9,18.6,172.0,3150.0,Nest never observed with full clutch.
PAL0708,30,Adelie,A_30,Anvers,Biscoe,N18A2,40.5,18.9,180.0,3950.0,Nest never observed with full clutch.
PAL0708,31,Adelie,A_31,Anvers,Dream,N21A1,39.5,16.7,178.0,3250.0,
PAL0708,32,Adelie,A_32,Anvers,Dream,N21A2,37.2,18.1,178.0,3900.0,
PAL0708,33,Adelie,A_33,Anvers,Dream,N22A1,39.5,17.8,188.0,3300.0,
PAL0708,34,Adelie,A_34,Anvers,Dream,N22A2,40.9,18.9,184.0,3900.0,
PAL0708,35,Adelie,A_35,Anvers,Dream,N23A1,36.4,17.0,195.0,3325.0,
PAL0708,36,Adelie,A_36,Anvers,Dream,N23A2,39.2,21.1,196.0,4150.0,
PAL0708,37,Adelie,A_37,Anvers,Dream,N24A1,38.8,20.0,190.0,3950.0,
PAL0708,38,Adelie,A_38,Anvers,Dream,N24A2,42.2,18.5,180.0,3550.0,
PAL0708,39,Adelie,A_39,Anvers,Dream,N25A1,37.6,19.3,181.0,3300.0,Nest never observed with full clutch.
PAL0708,40,Adelie,A_40,Anvers,Dream,N25A2,39.8,19.1,184.0,4650.0,Nest never observed with full clutch. Not enough blood for isotopes.
PAL0708,41,Adelie,A_41,Anvers,Dream,N26A1,36.5,18.0,182.0,3150.0,
PAL0708,42,Adelie,A_42,Anvers,Dream,N26A2,40.8,18.4,195.0,3900.0,Not enough blood for isotopes.
PAL0708,43,Adelie,A_43,Anvers,Dream,N27A1,36.0,18.5,186.0,3100.0,
PAL0708,44,Adelie,A_44,Anvers,Dream,N27A2,44.1,19.7,196.0,4400.0,
PAL0708,45,Adelie,A_45,Anvers,Dream,N28A1,37.0,16.9,185.0,3000.0,
PAL0708,46,Adelie,A_46,Anvers,Dream,N28A2,39.6,18.8,190.0,4600.0,
PAL0708,47,Adelie,A_47,Anvers,Dream,N29A1,41.1,19.0,182.0,3425.0,Not enough blood for isotopes.
PAL0708,48,Adelie,A_48,Anvers,Dream,N29A2,37.5,18.9,179.0,2975.0,Sexing primers did not amplify. Not enough blood for isotopes.
PAL0708,49,Adelie,A_49,Anvers,Dream,N30A1,36.0,17.9,190.0,3450.0,
PAL0708,50,Adelie,A_50,Anvers,Dream,N30A2,42.3,21.2,191.0,4150.0,
PAL0809,51,Adelie,A_51,Anvers,Biscoe,N21A1,39.6,17.7,186.0,3500.0,
PAL0809,52,Adelie,A_52,Anvers,Biscoe,N21A2,40.1,18.9,188.0,4300.0,
PAL0809,53,Adelie,A_53,Anvers,Biscoe,N22A1,35.0,17.9,190.0,3450.0,
PAL0809,54,Adelie,A_54,Anvers,Biscoe,N22A2,42.0,19.5,200.0,4050.0,
PAL0809,55,Adelie,A_55,Anvers,Biscoe,N23A1,34.5,18.1,187.0,2900.0,
PAL0809,56,Adelie,A_56,Anvers,Biscoe,N23A2,41.4,18.6,191.0,3700.0,
PAL0809,57,Adelie,A_57,Anvers,Biscoe,N24A1,39.0,17.5,186.0,3550.0,
PAL0809,58,Adelie,A_58,Anvers,Biscoe,N24A2,40.6,18.8,193.0,3800.0,
PAL0809,59,Adelie,A_59,Anvers,Biscoe,N25A1,36.5,16.6,181.0,2850.0,
PAL0809,60,Adelie,A_60,Anvers,Biscoe,N25A2,37.6,19.1,194.0,3750.0,
PAL0809,61,Adelie,A_61,Anvers,Biscoe,N27A1,35.7,16.9,185.0,3150.0,
PAL0809,62,Adelie,A_62,Anvers,Biscoe,N27A2,41.3,21.1,195.0,4400.0,
PAL0809,63,Adelie,A_63,Anvers,Biscoe,N28A1,37.6,17.0,185.0,3600.0,
PAL0809,64,Adelie,A_64,Anvers,Biscoe,N28A2,41.1,18.2,192.0,4050.0,
PAL0809,65,Adelie,A_65,Anvers,Biscoe,N29A1,36.4,17.1,184.0,2850.0,
PAL0809,66,Adelie,A_66,Anvers,Biscoe,N29A2,41.6,18.0,192.0,3950.0,
PAL0809,67,Adelie,A_67,Anvers,Biscoe,N30A1,35.5,16.2,195.0,3350.0,
PAL0809,68,Adelie,A_68,Anvers,Biscoe,N30A2,41.1,19.1,188.0,4100.0,
PAL0809,69,Adelie,A_69,Anvers,Torgersen,N32A1,35.9,16.6,190.0,3050.0,Nest never observed with full clutch.
PAL0809,70,Adelie,A_70,Anvers,Torgersen,N32A2,41.8,19.4,198.0,4450.0,Nest never observed with full clutch.
PAL0809,71,Adelie,A_71,Anvers,Torgersen,N34A1,33.5,19.0,190.0,3600.0,
PAL0809,72,Adelie,A_72,Anvers,Torgersen,N34A2,39.7,18.4,190.0,3900.0,
PAL0809,73,Adelie,A_73,Anvers,Torgersen,N35A1,39.6,17.2,196.0,3550.0,
PAL0809,74,Adelie,A_74,Anvers,Torgersen,N35A2,45.8,18.9,197.0,4150.0,
PAL0809,75,Adelie,A_75,Anvers,Torgersen,N36A1,35.5,17.5,190.0,3700.0,
PAL0809,76,Adelie,A_76,Anvers,Torgersen,N36A2,42.8,18.5,195.0,4250.0,
PAL0809,77,Adelie,A_77,Anvers,Torgersen,N37A1,40.9,16.8,191.0,3700.0,
PAL0809,78,Adelie,A_78,Anvers,Torgersen,N37A2,37.2,19.4,184.0,3900.0,
PAL0809,79,Adelie,A_79,Anvers,Torgersen,N38A1,36.2,16.1,187.0,3550.0,
PAL0809,80,Adelie,A_80,Anvers,Torgersen,N38A2,42.1,19.1,195.0,4000.0,
PAL0809,81,Adelie,A_81,Anvers,Torgersen,N39A1,34.6,17.2,189.0,3200.0,
PAL0809,82,Adelie,A_82,Anvers,Torgersen,N39A2,42.9,17.6,196.0,4700.0,
PAL0809,83,Adelie,A_83,Anvers,Torgersen,N40A1,36.7,18.8,187.0,3800.0,
PAL0809,84,Adelie,A_84,Anvers,Torgersen,N40A2,35.1,19.4,193.0,4200.0,
PAL0809,85,Adelie,A_85,Anvers,Dream,N41A1,37.3,17.8,191.0,3350.0,
PAL0809,86,Adelie,A_86,Anvers,Dream,N41A2,41.3,20.3,194.0,3550.0,
PAL0809,87,Adelie,A_87,Anvers,Dream,N42A1,36.3,19.5,190.0,3800.0,
PAL0809,88,Adelie,A_88,Anvers,Dream,N42A2,36.9,18.6,189.0,3500.0,
PAL0809,89,Adelie,A_89,Anvers,Dream,N44A1,38.3,19.2,189.0,3950.0,
PAL0809,90,Adelie,A_90,Anvers,Dream,N44A2,38.9,18.8,190.0,3600.0,
PAL0809,91,Adelie,A_91,Anvers,Dream,N45A1,35.7,18.0,202.0,3550.0,
PAL0809,92,Adelie,A_92,Anvers,Dream,N45A2,41.1,18.1,205.0,4300.0,
PAL0809,93,Adelie,A_93,Anvers,Dream,N46A1,34.0,17.1,185.0,3400.0,
PAL0809,94,Adelie,A_94,Anvers,Dream,N46A2,39.6,18.1,186.0,4450.0,
PAL0809,95,Adelie,A_95,Anvers,Dream,N48A1,36.2,17.3,187.0,3300.0,
PAL0809,96,Adelie,A_96,Anvers,Dream,N48A2,40.8,18.9,208.0,4300.0,
PAL0809,97,Adelie,A_97,Anvers,Dream,N49A1,38.1,18.6,190.0,3700.0,
PAL0809,98,Adelie,A_98,Anvers,Dream,N49A2,40.3,18.5,196.0,4350.0,
PAL0809,99,Adelie,A_99,Anvers,Dream,N50A1,33.1,16.1,178.0,2900.0,
PAL0809,100,Adelie,A_100,Anvers,Dream,N50A2,43.2,18.5,192.0,4100.0,
PAL0910,101,Adelie,A_101,Anvers,Biscoe,N47A1,35.0,17.9,192.0,3725.0,
PAL0910,102,Adelie,A_102,Anvers,Biscoe,N47A2,41.0,20.0,203.0,4725.0,
PAL0910,103,Adelie,A_103,Anvers,Biscoe,N49A1,37.7,16.0,183.0,3075.0,
PAL0910,104,Adelie,A_104,Anvers,Biscoe,N49A2,37.8,20.0,190.0,4250.0,
PAL0910,105,Adelie,A_105,Anvers,Biscoe,N51A1,37.9,18.6,193.0,2925.0,
PAL0910,106,Adelie,A_106,Anvers,Biscoe,N51A2,39.7,18.9,184.0,3550.0,
PAL0910,107,Adelie,A_107,Anvers,Biscoe,N53A1,38.6,17.2,199.0,3750.0,
PAL0910,108,Adelie,A_108,Anvers,Biscoe,N53A2,38.2,20.0,190.0,3900.0,
PAL0910,109,Adelie,A_109,Anvers,Biscoe,N55A1,38.1,17.0,181.0,3175.0,
PAL0910,110,Adelie,A_110,Anvers,Biscoe,N55A2,43.2,19.0,197.0,4775.0,
PAL0910,111,Adelie,A_111,Anvers,Biscoe,N58A1,38.1,16.5,198.0,3825.0,
PAL0910,112,Adelie,A_112,Anvers,Biscoe,N58A2,45.6,20.3,191.0,4600.0,
PAL0910,113,Adelie,A_113,Anvers,Biscoe,N60A1,39.7,17.7,193.0,3200.0,
PAL0910,114,Adelie,A_114,Anvers,Biscoe,N60A2,42.2,19.5,197.0,4275.0,
PAL0910,115,Adelie,A_115,Anvers,Biscoe,N61A1,39.6,20.7,191.0,3900.0,
PAL0910,116,Adelie,A_116,Anvers,Biscoe,N61A2,42.7,18.3,196.0,4075.0,
PAL0910,117,Adelie,A_117,Anvers,Torgersen,N63A1,38.6,17.0,188.0,2900.0,
PAL0910,118,Adelie,A_118,Anvers,Torgersen,N63A2,37.3,20.5,199.0,3775.0,
PAL0910,119,Adelie,A_119,Anvers,Torgersen,N64A1,35.7,17.0,189.0,3350.0,
PAL0910,120,Adelie,A_120,Anvers,Torgersen,N64A2,41.1,18.6,189.0,3325.0,
PAL0910,121,Adelie,A_121,Anvers,Torgersen,N66A1,36.2,17.2,187.0,3150.0,Nest never observed with full clutch.
PAL0910,122,Adelie,A_122,Anvers,Torgersen,N66A2,37.7,19.8,198.0,3500.0,Nest never observed with full clutch.
PAL0910,123,Adelie,A_123,Anvers,Torgersen,N67A1,40.2,17.0,176.0,3450.0,
PAL0910,124,Adelie,A_124,Anvers,Torgersen,N67A2,41.4,18.5,202.0,3875.0,
PAL0910,125,Adelie,A_125,Anvers,Torgersen,N69A1,35.2,15.9,186.0,3050.0,
PAL0910,126,Adelie,A_126,Anvers,Torgersen,N69A2,40.6,19.0,199.0,4000.0,
PAL0910,127,Adelie,A_127,Anvers,Torgersen,N71A1,38.8,17.6,191.0,3275.0,
PAL0910,128,Adelie,A_128,Anvers,Torgersen,N71A2,41.5,18.3,195.0,4300.0,
PAL0910,129,Adelie,A_129,Anvers,Torgersen,N72A1,39.0,17.1,191.0,3050.0,
PAL0910,130,Adelie,A_130,Anvers,Torgersen,N72A2,44.1,18.0,210.0,4000.0,
PAL0910,131,Adelie,A_131,Anvers,Torgersen,N73A1,38.5,17.9,190.0,3325.0,Nest never observed with full clutch.
PAL0910,132,Adelie,A_132,Anvers,Torgersen,N73A2,43.1,19.2,197.0,3500.0,Nest never observed with full clutch.
PAL0910,133,Adelie,A_133,Anvers,Dream,N76A1,36.8,18.5,193.0,3500.0,
PAL0910,134,Adelie,A_134,Anvers,Dream,N76A2,37.5,18.5,199.0,4475.0,
PAL0910,135,Adelie,A_135,Anvers,Dream,N77A1,38.1,17.6,187.0,3425.0,
PAL0910,136,Adelie,A_136,Anvers,Dream,N77A2,41.1,17.5,190.0,3900.0,
PAL0910,137,Adelie,A_137,Anvers,Dream,N78A1,35.6,17.5,191.0,3175.0,
PAL0910,138,Adelie,A_138,Anvers,Dream,N78A2,40.2,20.1,200.0,3975.0,
PAL0910,139,Adelie,A_139,Anvers,Dream,N79A1,37.0,16.5,185.0,3400.0,Nest never observed with full clutch.
PAL0910,140,Adelie,A_140,Anvers,Dream,N79A2,39.7,17.9,193.0,4250.0,Nest never observed with full clutch.
PAL0910,141,Adelie,A_141,Anvers,Dream,N80A1,40.2,17.1,193.0,3400.0,
PAL0910,142,Adelie,A_142,Anvers,Dream,N80A2,40.6,17.2,187.0,3475.0,
PAL0910,143,Adelie,A_143,Anvers,Dream,N81A1,32.1,15.5,188.0,3050.0,
PAL0910,144,Adelie,A_144,Anvers,Dream,N81A2,40.7,17.0,190.0,3725.0,
PAL0910,145,Adelie,A_145,Anvers,Dream,N82A1,37.3,16.8,192.0,3000.0,
PAL0910,146,Adelie,A_146,Anvers,Dream,N82A2,39.0,18.7,185.0,3650.0,
PAL0910,147,Adelie,A_147,Anvers,Dream,N83A1,39.2,18.6,190.0,4250.0,
PAL0910,148,Adelie,A_148,Anvers,Dream,N83A2,36.6,18.4,184.0,3475.0,
PAL0910,149,Adelie,A_149,Anvers,Dream,N84A1,36.0,17.8,195.0,3450.0,
PAL0910,150,Adelie,A_150,Anvers,Dream,N84A2,37.8,18.1,193.0,3750.0,
PAL0910,151,Adelie,A_151,Anvers,Dream,N85A1,36.0,17.1,187.0,3700.0,
PAL0910,152,Adelie,A_152,Anvers,Dream,N85A2,41.5,18.5,201.0,4000.0,
